,CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,SEATLOC,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,EYEWEAR,POSTURE,BELTUSE
31236,26523,20,125,1-20-2022-125-05,5,1,5,23,17,160,68,2,8,2,0,0,4
31237,26523,20,125,1-20-2022-125-05,5,1,1,11,24,165,82,2,8,1,0,0,4
31238,26523,20,125,1-20-2022-125-05,5,1,2,13,24,165,77,2,8,2,0,0,4
31239,26523,20,125,1-20-2022-125-05,5,1,3,21,4,999,16,1,8,2,0,10,14
31240,25982,16,43,1-16-2022-043-06,6,1,2,13,16,999,999,2,8,2,9,99,4
31241,25982,16,43,1-16-2022-043-06,6,1,3,21,5,999,999,1,8,2,9,10,0
31242,25982,16,43,1-16-2022-043-06,6,1,4,22,11,999,999,1,8,2,9,99,99
31243,25982,16,43,1-16-2022-043-06,6,1,5,23,17,999,999,2,8,2,9,99,99
31244,25982,16,43,1-16-2022-043-06,6,1,1,11,18,999,999,2,8,1,9,99,4
31245,25984,66,40,1-66-2022-040-08,8,1,1,11,66,168,78,1,8,1,9,99,99
31246,25984,66,40,1-66-2022-040-08,8,1,2,13,38,999,999,1,8,2,9,99,99
31247,25985,26,65,1-26-2022-065-02,2,1,1,11,60,180,73,1,8,1,9,99,0
31248,25987,11,32,1-11-2022-032-03,3,2,2,99,999,999,999,9,8,2,9,99,99
31249,25663,19,61,1-19-2022-061-05,5,1,2,21,6,999,25,1,8,2,0,10,14
31250,25663,19,61,1-19-2022-061-05,5,2,1,11,18,999,999,2,8,1,9,99,4
31251,25660,19,58,1-19-2022-058-06,6,1,1,11,59,165,113,2,8,1,0,0,4
31252,25660,19,58,1-19-2022-058-06,6,1,2,13,34,170,141,2,8,2,3,0,4
31253,25634,10,59,1-10-2022-059-07,7,1,1,11,53,999,999,2,8,1,9,99,4
31254,25987,11,32,1-11-2022-032-03,3,1,1,11,44,999,999,2,8,1,9,99,4
31255,25987,11,32,1-11-2022-032-03,3,1,2,99,999,999,999,9,8,2,9,99,99
31256,25987,11,32,1-11-2022-032-03,3,2,1,11,75,170,81,2,8,1,9,99,99
31257,25988,48,10,1-48-2022-010-07,7,2,2,13,21,162,86,2,8,2,9,99,4
31258,26548,11,43,1-11-2022-043-02,2,2,1,11,63,173,91,1,8,1,0,0,4
31259,26548,11,43,1-11-2022-043-02,2,2,2,13,37,165,66,2,8,2,0,0,4
31260,26549,24,89,1-24-2022-089-03,3,1,1,11,44,168,98,2,8,1,9,0,4
31261,27794,19,156,1-19-2022-156-03,3,1,1,11,20,999,999,2,8,1,9,99,0
31262,27794,19,156,1-19-2022-156-03,3,1,2,13,21,165,95,2,8,2,9,99,4
31263,27794,19,156,1-19-2022-156-03,3,2,1,11,21,178,66,1,8,1,0,0,4
31264,27796,11,82,1-11-2022-082-01,1,1,1,11,61,173,118,1,8,1,9,99,4
31265,25988,48,10,1-48-2022-010-07,7,1,1,11,71,178,95,1,8,1,1,0,4
31266,25988,48,10,1-48-2022-010-07,7,2,1,11,24,170,72,1,8,1,9,99,4
31267,25990,14,41,1-14-2022-041-03,3,2,1,11,19,999,999,1,8,1,9,99,4
31268,25990,14,41,1-14-2022-041-03,3,2,2,13,20,999,999,1,8,2,9,99,4
31269,25990,14,41,1-14-2022-041-03,3,2,3,21,19,999,999,2,8,2,9,99,4
31270,25990,14,41,1-14-2022-041-03,3,2,4,22,19,999,999,2,8,2,0,99,4
31271,25990,14,41,1-14-2022-041-03,3,2,5,22,20,999,999,2,8,2,9,99,4
31272,25990,14,41,1-14-2022-041-03,3,2,6,23,19,999,999,1,8,2,9,99,4
31273,25991,24,72,1-24-2022-072-07,7,2,1,11,37,183,107,1,8,1,0,0,4
31274,25996,52,68,1-52-2022-068-06,6,1,1,11,32,999,999,2,8,1,9,99,99
31275,25996,52,68,1-52-2022-068-06,6,1,2,13,13,999,999,2,8,2,9,99,99
31276,25996,52,68,1-52-2022-068-06,6,1,3,21,13,999,999,2,8,2,9,99,99
31277,25996,52,68,1-52-2022-068-06,6,1,4,23,12,999,999,2,8,2,9,99,99
31278,25996,52,68,1-52-2022-068-06,6,2,1,11,77,155,59,2,8,1,9,99,4
31279,25996,52,68,1-52-2022-068-06,6,2,2,13,20,999,100,1,8,2,9,99,0
31280,25999,28,43,1-28-2022-043-04,4,1,1,11,17,183,79,1,8,1,1,0,4
31281,26551,13,83,1-13-2022-083-04,4,2,1,11,36,999,999,1,8,1,9,99,99
31282,26552,13,84,1-13-2022-084-07,7,1,1,11,21,999,999,1,8,1,9,99,4
31283,26554,28,61,1-28-2022-061-05,5,1,1,11,75,178,73,2,8,1,9,99,4
31284,26557,10,108,1-10-2022-108-01,1,1,1,11,48,165,61,2,8,1,9,99,0
31285,26560,52,99,1-52-2022-099-03,3,1,1,11,30,999,999,1,8,1,9,99,4
31286,27799,24,120,1-24-2022-120-05,5,1,1,11,26,999,999,2,8,1,9,99,99
31287,27799,24,120,1-24-2022-120-05,5,1,2,13,23,185,113,1,8,2,9,99,99
31288,27800,14,88,1-14-2022-088-07,7,1,1,11,37,999,999,1,8,1,9,99,99
31289,27800,14,88,1-14-2022-088-07,7,3,1,11,34,999,999,1,8,1,9,99,99
31290,27805,16,104,1-16-2022-104-10,10,1,1,11,999,999,999,9,8,1,9,99,4
31291,26181,33,10,1-33-2022-010-03,3,2,1,11,44,165,79,1,8,1,9,99,4
31292,26181,33,10,1-33-2022-010-03,3,4,1,11,47,168,68,1,8,1,1,0,4
31293,26181,33,10,1-33-2022-010-03,3,4,2,13,36,170,64,2,8,2,0,99,4
31294,26184,17,50,1-17-2022-050-03,3,1,1,11,82,170,63,2,8,1,9,99,4
31295,26187,76,52,1-76-2022-052-08,8,1,1,11,16,999,71,1,8,1,9,99,99
31296,26016,31,36,1-31-2022-036-01,1,1,1,11,16,999,999,1,8,1,9,99,0
31297,26016,31,36,1-31-2022-036-01,1,1,2,13,15,183,73,1,8,2,9,99,4
31298,26016,31,36,1-31-2022-036-01,1,1,3,23,18,170,56,2,8,2,9,99,0
31299,26016,31,36,1-31-2022-036-01,1,2,1,11,32,180,91,1,8,1,9,99,4
31300,26016,31,36,1-31-2022-036-01,1,2,2,13,38,999,999,1,8,2,9,99,0
31301,26019,19,78,1-19-2022-078-03,3,1,1,11,17,168,59,2,8,1,0,0,4
31302,26022,27,42,1-27-2022-042-04,4,1,1,11,46,180,68,2,8,1,1,0,4
31303,26022,27,42,1-27-2022-042-04,4,1,2,22,5,122,18,1,8,2,0,10,0
31304,26304,22,13,1-22-2022-013-01,1,1,2,13,49,168,56,1,8,2,9,99,4
31305,26304,22,13,1-22-2022-013-01,1,1,3,21,33,175,93,1,8,2,9,99,0
31306,26304,22,13,1-22-2022-013-01,1,1,4,22,22,999,73,1,8,2,9,99,0
31307,26304,22,13,1-22-2022-013-01,1,1,5,23,38,999,999,2,8,2,9,99,0
31308,26808,52,111,1-52-2022-111-06,6,1,1,11,15,999,999,1,8,1,9,99,4
31309,26808,52,111,1-52-2022-111-06,6,1,2,13,17,999,999,1,8,2,9,99,0
31310,26808,52,111,1-52-2022-111-06,6,2,1,11,43,188,100,1,8,1,3,0,0
31311,26814,13,90,1-13-2022-090-05,5,1,1,11,53,170,64,1,8,1,9,99,0
31312,26814,13,90,1-13-2022-090-05,5,1,2,13,45,163,61,2,8,2,9,99,0
31313,26845,59,55,1-59-2022-055-09,9,1,1,11,21,168,60,2,8,1,9,99,99
31314,26865,23,36,1-23-2022-036-03,3,1,1,11,36,999,999,1,8,1,9,99,4
31315,26874,13,91,1-13-2022-091-07,7,1,1,11,36,999,999,1,8,1,9,99,4
31316,26874,13,91,1-13-2022-091-07,7,2,1,11,42,999,999,1,8,1,9,99,4
31317,25680,76,37,1-76-2022-037-07,7,1,1,11,43,999,999,1,8,1,9,99,4
