CASEID,PSU,CASENO,CASENUMBER,DAMPLANE,CATEGORY,VEHNO,DVLONG,DVLAT,DVTOTAL,CRASHTYPE,PREFHE,MODELYR,BODYTYPE,BODYCAT,SPEEDLIMIT,CRITEVENT,CRASHCONF,DRUGTEST,ALCTESTRESULT,ALCTESTSRC
6180,13,5,1-13-2017-005-03,F,3,2,-30,0,30,68,0,2014,5,1,64,15,J,0,995,0
6198,22,3,1-22-2017-003-09,B,9,2,17,0,17,21,0,2007,34,5,40,52,D,0,995,0
6179,13,4,1-13-2017-004-03,B,3,1,12,0,12,98,0,2005,34,5,97,53,M,0,995,0
6179,13,4,1-13-2017-004-03,F,3,2,-17,0,17,98,0,2013,14,3,97,53,M,0,995,0
6179,13,4,1-13-2017-004-03,F,3,3,-16,0,16,29,0,2013,4,1,97,53,D,0,995,0
6179,13,4,1-13-2017-004-03,F,3,4,-8,0,8,28,0,2001,14,3,97,52,D,0,995,0
6198,22,3,1-22-2017-003-09,B,9,3,999,999,999,98,0,2017,4,1,40,52,M,0,995,0
6207,20,4,1-20-2017-004-04,F,4,1,-23,-13,27,83,0,1997,4,1,999,17,K,0,995,0
6207,20,4,1-20-2017-004-04,L,4,2,-14,8,17,82,0,2013,34,5,999,66,K,0,995,0
6207,20,4,1-20-2017-004-04,L,4,3,999,999,999,98,0,1999,4,1,999,60,M,0,995,0
6209,15,2,1-15-2017-002-02,F,2,1,999,999,999,1,1,2013,4,1,48,13,A,0,0,2
6210,15,3,1-15-2017-003-03,F,3,1,999,999,999,20,0,2016,14,3,48,50,D,0,995,0
6210,15,3,1-15-2017-003-03,B,3,2,999,999,999,21,0,2013,14,3,48,53,D,0,995,0
6210,15,3,1-15-2017-003-03,B,3,3,999,999,999,98,0,2016,4,1,48,53,M,0,995,0
6211,18,2,1-18-2017-002-04,B,4,1,999,999,999,21,0,2006,34,5,56,52,D,0,995,0
6211,18,2,1-18-2017-002-04,F,4,2,999,999,999,20,0,2016,5,1,56,50,D,0,995,0
6214,18,3,1-18-2017-003-10,T,10,1,999,999,999,2,1,2005,14,3,105,5,A,0,995,0
6215,32,5,1-32-2017-005-05,L,5,1,-13,15,20,82,0,2009,3,1,48,15,K,0,995,0
6215,32,5,1-32-2017-005-05,F,5,2,-14,-2,14,83,0,2008,4,1,48,67,K,0,995,0
6206,20,3,1-20-2017-003-02,T,2,1,999,999,999,6,1,2013,4,1,89,12,B,0,995,0
6217,30,4,1-30-2017-004-04,F,4,1,999,999,999,3,1,2014,4,1,72,13,A,0,995,0
6218,30,5,1-30-2017-005-07,L,7,1,-8,1,9,47,1,1991,34,5,105,51,F,0,995,0
6218,30,5,1-30-2017-005-07,R,7,2,-12,2,12,45,0,2010,4,1,105,61,F,0,995,0
6222,14,4,1-14-2017-004-10,F,10,1,-14,5,14,47,1,2006,4,1,113,10,F,0,995,0
6222,14,4,1-14-2017-004-10,R,10,2,6,-10,12,45,0,2004,4,1,113,61,F,0,995,0
6222,14,4,1-14-2017-004-10,R,10,3,999,999,999,98,0,2010,6,1,113,61,M,0,995,0
6219,30,6,1-30-2017-006-04,F,4,1,-10,4,11,6,1,2014,4,1,64,12,B,0,995,0
6201,22,6,1-22-2017-006-03,U,3,1,999,999,999,2,1,2016,14,3,105,6,A,1,8,2
6223,14,5,1-14-2017-005-06,F,6,1,999,999,999,24,0,2011,14,3,113,51,D,0,995,0
6223,14,5,1-14-2017-005-06,B,6,2,999,999,999,25,0,2007,34,5,113,53,D,0,995,0
6233,32,7,1-32-2017-007-09,F,9,1,999,999,999,2,1,2007,4,1,72,13,A,0,995,0
6228,10,3,1-10-2017-003-09,L,9,1,999,999,999,45,0,2006,4,1,105,61,F,0,995,0
6232,32,6,1-32-2017-006-04,F,4,1,-20,0,20,98,1,2017,4,1,89,13,M,0,995,0
6234,32,8,1-32-2017-008-06,F,6,1,-10,2,11,86,0,2011,14,3,48,17,L,0,995,0
6234,32,8,1-32-2017-008-06,R,6,2,-2,-12,13,87,0,2002,14,3,48,66,L,0,995,0
6225,23,7,1-23-2017-007-07,B,7,1,7,1,7,21,0,2014,34,5,56,52,D,0,995,0
6225,23,7,1-23-2017-007-07,F,7,2,-14,0,14,20,0,2010,4,1,56,50,D,0,995,0
6236,16,7,1-16-2017-007-07,9,7,1,999,999,999,68,1,9999,99,10,56,15,J,0,995,0
6238,12,3,1-12-2017-003-04,F,4,1,999,999,999,86,0,2001,34,5,56,17,L,0,995,0
6236,16,7,1-16-2017-007-07,L,7,2,999,999,999,69,0,2012,5,1,56,17,J,0,995,0
6238,12,3,1-12-2017-003-04,R,4,2,999,999,999,87,1,2013,14,3,97,66,L,0,995,0
6237,16,8,1-16-2017-008-07,R,7,1,-1,-4,4,46,1,2011,34,5,40,11,F,0,995,0
6237,16,8,1-16-2017-008-07,L,7,2,1,6,6,45,0,2008,4,1,40,60,F,0,995,0
6242,12,4,1-12-2017-004-07,R,7,1,999,999,999,7,1,2011,4,1,56,5,B,0,995,0
6229,24,4,1-24-2017-004-07,F,7,1,999,999,999,7,1,2010,21,4,72,1,B,0,995,0
6230,24,5,1-24-2017-005-03,L,3,1,-4,12,13,89,0,2017,4,1,40,17,L,0,995,0
6230,24,5,1-24-2017-005-03,F,3,2,-15,-5,16,88,0,2013,4,1,40,66,L,0,995,0
6241,31,4,1-31-2017-004-06,F,6,1,999,999,999,1,1,2010,34,5,56,13,A,2,278,2
6240,31,3,1-31-2017-003-09,F,9,1,999,999,999,6,1,2007,15,3,89,12,B,0,995,0
6245,17,8,1-17-2017-008-03,F,3,1,-26,5,27,80,1,2001,4,1,89,6,K,9,995,0
6245,17,8,1-17-2017-008-03,L,3,2,-15,27,31,81,0,2017,4,1,72,67,K,0,995,0
6247,17,10,1-17-2017-010-07,F,7,1,-23,0,23,20,0,2012,4,1,89,50,D,9,995,0
6247,17,10,1-17-2017-010-07,B,7,2,16,0,16,21,0,2007,14,3,89,53,D,0,995,0
6246,17,9,1-17-2017-009-03,R,3,1,-16,-19,25,68,0,2005,4,1,89,15,J,0,995,0
6246,17,9,1-17-2017-009-03,F,3,2,-10,4,11,69,0,2013,15,3,89,62,J,0,995,0
6244,17,7,1-17-2017-007-06,F,6,1,-13,0,13,28,0,2007,4,1,48,52,D,0,995,0
6244,17,7,1-17-2017-007-06,B,6,2,14,0,14,29,0,2011,4,1,48,53,D,0,995,0
6260,33,4,1-33-2017-004-09,R,9,1,999,999,999,64,1,1994,34,5,72,6,I,0,995,0
6255,22,8,1-22-2017-008-07,F,7,1,999,999,999,2,1,2010,4,1,72,6,A,9,995,0
6256,22,9,1-22-2017-009-09,T,9,1,999,999,999,7,1,1998,14,3,97,6,B,1,995,0
6254,22,7,1-22-2017-007-09,T,9,1,999,999,999,2,1,1987,4,1,105,6,A,0,995,0
6260,33,4,1-33-2017-004-09,L,9,2,999,999,999,65,1,2014,63,8,72,62,I,0,995,0
6260,33,4,1-33-2017-004-09,L,9,3,999,999,999,98,0,2011,15,3,72,62,M,0,995,0
6224,23,6,1-23-2017-006-06,F,6,1,999,999,999,1,1,2008,4,1,89,13,A,0,995,0
6262,33,6,1-33-2017-006-10,F,10,1,-13,-11,17,88,0,2010,2,1,40,17,L,0,995,0
6253,13,8,1-13-2017-008-01,F,1,1,999,999,999,64,1,2001,4,1,56,10,I,0,172,3
6253,13,8,1-13-2017-008-01,L,1,2,999,999,999,65,1,2017,66,8,56,62,I,0,995,0
6252,13,7,1-13-2017-007-02,F,2,1,999,999,999,98,0,2011,66,8,80,64,M,0,995,0
6262,33,6,1-33-2017-006-10,L,10,2,-11,13,17,89,0,2007,4,1,40,66,L,0,995,0
6251,13,6,1-13-2017-006-03,F,3,1,-13,0,13,1,1,2017,4,1,48,13,A,0,995,0
6251,13,6,1-13-2017-006-03,F,3,2,-7,0,7,98,0,2015,15,3,48,62,M,0,995,0
6243,21,4,1-21-2017-004-03,F,3,1,999,999,999,82,0,2017,15,3,56,15,K,0,995,0
6243,21,4,1-21-2017-004-03,F,3,2,999,999,999,83,0,2013,4,1,80,67,K,0,995,0
6261,33,5,1-33-2017-005-09,R,9,1,-3,-2,3,68,0,2001,14,3,89,15,J,0,995,0
6265,19,12,1-19-2017-012-07,F,7,1,-13,0,13,28,0,2010,2,1,72,52,D,0,995,0
6265,19,12,1-19-2017-012-07,B,7,2,10,0,10,29,0,2006,14,3,72,53,D,0,995,0
6261,33,5,1-33-2017-005-09,F,9,2,-3,3,4,69,0,2005,4,1,89,62,J,0,995,0
6266,19,13,1-19-2017-013-05,F,5,1,-71,0,71,2,1,2008,4,1,105,6,A,0,0,2
6252,13,7,1-13-2017-007-02,L,2,2,999,999,999,2,1,2013,4,1,80,11,A,1,0,2
6269,19,14,1-19-2017-014-09,F,9,1,999,999,999,1,1,2003,14,3,72,13,A,0,995,0
6270,19,15,1-19-2017-015-06,R,6,1,-11,-19,22,68,0,2001,34,5,72,15,J,0,996,1
6270,19,15,1-19-2017-015-06,F,6,2,-17,3,18,69,0,2009,34,5,72,62,J,0,995,0
6257,22,10,1-22-2017-010-06,R,6,1,7,-11,13,64,1,2012,14,3,56,5,I,0,995,0
6257,22,10,1-22-2017-010-06,F,6,2,-12,2,13,65,0,2015,4,1,56,54,I,0,995,0
6272,20,6,1-20-2017-006-01,F,1,1,999,999,999,6,1,1993,34,5,105,12,B,2,0,3
